;;;;;;;;;Inclusion criteria;;;;Exclusion criteria;;;;;;;Research questions;;;;Snowballing iteration;;;;;
72;. Chen, H. Mao, M. Jaeger, T. D. Nielsen, K. Guldstrand Larsen, and B. Nielsen;Learning Markov Models for Stationary System Behaviors;learning markov models for stationary system behaviors;NFM;2012;https://doi.org/10.1007/978-3-642-28891-3_22;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
73;A.   Filieri,   C.   Ghezzi,   A.   Leva,   and   M.   Maggio;Self-adaptive software   meets   control   theory:   A   preliminary   approach   supporting reliability  requirements;self-adaptive software meets control theory: a preliminary approach supporting reliability requirements;ASE;2011;https://doi.org/10.1109/ASE.2011.6100064;no;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;yes;(yes);yes;;NO;NO;;;;
74;J.  Magee  and  J.  Kramer;State models and java programs;state models and java programs;Book;1999;;no;TRUE;TRUE;TRUE;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;;;;;;;;;
75;L.  L.  Muniz,  U.  S.  C.  Netto,  and  P.  H.  M.  Maia;Tcg  -  a model-based testing tool for functional and statistical testing;tcg - a model-based testing tool for functional and statistical testing;ICEIS;2015;https://doi.org/10.5220/0005398604040411;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
76;M.  Kwiatkowska,;Quantitative  verification:  models  techniques  and tools;quantitative verification: models techniques and tools;FSE;2007;https://doi.org/10.1145/1295014.1295018;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
77;S.  Maoz,;Using  model-based  traces  as  runtime  models;using model-based traces as runtime models;Computer;2009;https://doi.org/10.1109/MC.2009.336;no;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;(yes);(yes);(yes);;NO;NO;;;;
78;E.  Gamma,  R.  Helm,  R.  Johnson,  and  J.  Vlissides;Design  Patterns:Elements  of  Reusable  Object-oriented  Software;design patterns:elements of reusable object-oriented software;Addison-Wesley Longman Publishing Co;1995;http://www.uml.org.cn/c%2B%2B/pdf/DesignPatterns.pdf;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;;;;;;;;;
79;.  T.  Eugster,  P.  A.  Felber,  R.  Guerraoui,  and  A.-M.  Kermarrec;The many  faces  of  publish/subscribe;the many faces of publish/subscribe;CSUR;2003;https://doi.org/10.1145/857076.857078;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
80;Jane Cleland-Huang, Michael Vierhauser, Sean Bayley;Dronology: An Incubator for Cyber-Physical System Research;dronology: an incubator for cyber-physical system research;under submission;2018;https://arxiv.org/abs/1804.02423;no;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;;;;;;;;;
81;T. Vogel;mRUBiS: an exemplar for model-based architectural self-healing and self-optimization;mrubis: an exemplar for model-based architectural self-healing and self-optimization;SEAMS;2018;https://doi.org/10.1145/3194133.3194161;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
82;Vierhauser, Michael and Cleland-Huang, Jane and Bayley, Sean and Krismayer, Thomas and Rabiser, Rick and Grünbacher, Pau;Monitoring CPS at Runtime - A Case Study in the UAV Domain;monitoring cps at runtime - a case study in the uav domain;SEAA;2018;https://doi.org/10.1109/SEAA.2018.00022;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
83;Duarte, Lucio Mauro and Maia, Paulo Henrique Mendes and Silva, Ana Carolina Sanchotene;Extraction of Probabilistic Behaviour Models Based on Contexts;extraction of probabilistic behaviour models based on contexts;MiSE;2018;https://ieeexplore.ieee.org/abstract/document/8445455;no;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;yes;no;yes;;NO;NO;;;;
84;Bagheri, Maryam and Sirjani, Marjan and Khamespanah, Ehsan and Movaghar, Ali;A Compositional Approach for Reliable Adaptation of Track-based Traffic Control Systems at Runtime;a compositional approach for reliable adaptation of track-based traffic control systems at runtime;;2019;https://arxiv.org/abs/1905.06732;no;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;;;;;;;;;
85;Wotawa, Franz;Reasoning from First Principles for Self-adaptive and Autonomous Systems;reasoning from first principles for self-adaptive and autonomous systems;Book;2019;https://doi.org/10.1007/978-3-030-05645-2_15;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
86;Lu, Chao-Ze and Zeng, Guo-Sun and Liu, Wen-Juan;Software Evolution Rules with Condition Constrains to Support Component Type Matching Based on Bigraph;software evolution rules with condition constrains to support component type matching based on bigraph;IJSEKE;2018;https://doi.org/10.1142/S0218194018500419;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;No context or behaviour modelling approach, architecture representation (component level);;;;;;
87;J. Buckley, T. Mens, M. Zenger, A. Rashid, and G. Kniesel;Towards a taxonomy of software change;towards a taxonomy of software change;JSME;2005;https://doi.org/10.1002/smr.319;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
88;M. Salehie and L. Tahvildari,;Self-adaptive software: Landscape and research challenges;self-adaptive software: landscape and research challenges;TAAS;2009;https://doi.org/10.1145/1516533.1516538;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
89;B. H. Cheng and others,;Software engineering for self-adaptive systems: A research roadmap;software engineering for self-adaptive systems: a research roadmap;International Seminar, Dagstuhl;2009;https://doi.org/10.1007/978-3-642-02161-9_1;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
90;D. Weyns, M. U. Iftikhar, S. Malek, and J. Andersson;Claims and supporting evidence for self-adaptive systems: A literature study;claims and supporting evidence for self-adaptive systems: a literature study;SEAMS;2012;https://doi.org/10.1109/SEAMS.2012.6224395;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
91;R. de Lemos and others,;Software engineering for self-adaptive systems: A second research roadmap;software engineering for self-adaptive systems: a second research roadmap;International Seminar, Dagstuhl;2013;https://doi.org/10.1007/978-3-642-35813-5_1;no;TRUE;;;;FALSE;;;;;;TRUE;FALSE;;;;;;;;;;
92;. M. Sadjadi, P. K. McKinley, B. H. C. Cheng, and R. E. K. Stirewalt;TRAP/J: Transparent generation of adaptable Java programs;trap/j: transparent generation of adaptable java programs;CoopIS/DOA/ODBASE;2004;https://doi.org/10.1007/978-3-540-30469-2_28;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;Define an approach to enable adaptability in a Java program, nothing about the model part of adaptation process;;;;;;
93;R. Pawlak, L. Duchien, G. Florin, and L. Seinturier;JAC: A flexible solution for aspect-oriented programming in Java;jac: a flexible solution for aspect-oriented programming in java;REFLECTION;2001;https://doi.org/10.1007/3-540-45429-2_1;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
94;. Greenwood and L. Blair,;A framework for policy driven auto-adaptive systems using dynamic framed aspects;a framework for policy driven auto-adaptive systems using dynamic framed aspects;TAOSD;2006;https://doi.org/10.1007/11922827_2;no;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;no;no;yes;;NO;NO;;;;
95;.-C. David and T. Ledoux,;An aspect-oriented approach for developingself-adaptive fractal components;an aspect-oriented approach for developingself-adaptive fractal components;SC;2006;https://doi.org/10.1007/11821946_6;no;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;no;(yes);yes;;NO;NO;;;;
96;A. Charfi, T. Dinkelaker, and M. Mezini;A plug-in architecture for self-adaptive web service compositions;a plug-in architecture for self-adaptive web service compositions;ICWS;2009;https://doi.org/10.1109/ICWS.2009.125;no;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;no;(yes);(yes);;NO;NO;;;;
97;R. Haesevoets, E. Truyen, T. Holvoet, and W. Joosen;Weaving the fabric of the control loop through aspects;weaving the fabric of the control loop through aspects;SOAR;2010;https://doi.org/10.1007/978-3-642-14412-7_3;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
98;. Tallabaci and V. E. S. Souza,;Engineering adaptation with Zanshin:an experience report;engineering adaptation with zanshin:an experience report;SEAMS;2013;https://doi.org/10.1109/SEAMS.2013.6595496;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
99;L. Nahabedian, V. Braberman, N. D’Ippolito, S. Honiden, J. Kramer,K. Tei, and S. Uchitel;Assured and correct dynamic update of controllers;assured and correct dynamic update of controllers;SEAMS;2016;https://doi.org/10.1109/SEAMS.2016.019;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;NO;NO;;;;
100;D. Weyns, M. U. Iftikhar, D. G. de la Iglesia, and T. Ahmad;A survey of formal methods in self-adaptive systems;a survey of formal methods in self-adaptive systems;C3S2E;2012;;no;TRUE;;;;FALSE;;;;;;TRUE;FALSE;;;;;;;;;;
101;. Katz and S. Katz,;Modular verification of strongly invasive aspects;modular verification of strongly invasive aspects;Languages: From Formal to Natural;2009;https://doi.org/10.1007/978-3-642-01748-3_9;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
102;. Weyns and R. Calinescu,;Tele Assistance: A Self-Adaptive Service-Based System Examplar;tele assistance: a self-adaptive service-based system examplar;SEAMS;2015;;no;TRUE;;;;FALSE;;;;;;TRUE;FALSE;;;;;;;;;;
103;. Kramer and J. Magee,;The Evolving Philosopher Problem: Dynamic Change Management;the evolving philosopher problem: dynamic change management;TSE;1990;https://doi.org/10.1109/32.60317;no;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;yes;(yes);(yes);;NO;NO;;;;
104;. Vandewoude, P. Ebraert, Y. Berbers, and T. D’Hondt;Tranquility:A low disruptive alternative to quiescence for ensuring safe dynamicupdates;tranquility:a low disruptive alternative to quiescence for ensuring safe dynamicupdates;TSE;2007;https://doi.org/10.1109/TSE.2007.70733;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
105;M. Clavel, F. Durán, S. Eker, P. Lincoln, N. Martí-Oliet, J. Meseguer,and J. F. Quesada;Maude: Specification and programming in rewriting logic;maude: specification and programming in rewriting logic;Theoritical CS;2002;https://doi.org/10.1016/S0304-3975(01)00359-0;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
106;R. Bruni, A. Corradini, F. Gadducci, A. Lluch Lafuente, and A. Vandi;Modelling  and  analyzing  adaptive  self-assembly  strategies  with Maude;modelling and analyzing adaptive self-assembly strategies with maude;Science of CP;2015;https://doi.org/10.1007/978-3-642-34005-5_7;no;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;no;no;yes;;NO;NO;;;;
107;B.Djoudi, C. Bouanaka, and N. Zeghib;Model checking pervasive context-aware systems;model checking pervasive context-aware systems;WETICE;2014;https://doi.org/10.1109/WETICE.2014.11;no;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;(yes);(yes);yes;;NO;NO;;;;
108;Y. Tahara, A. Ohsuga, and S. Honiden;Rewriting Logic Model of Compositional Abstraction of Aspect-Oriented Software;rewriting logic model of compositional abstraction of aspect-oriented software;FOAL;2010;http://www.cs.ucf.edu/~leavens/FOAL/papers-2010/proceedings.pdf#page=58;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
109;J. Pérez, I. Ramos, J. Jaén, P. Letelier, and E. Navarro,;PRISMA:Towards quality, aspect oriented and dynamic software architectures;prisma:towards quality, aspect oriented and dynamic software architectures;QSIC;2003;https://doi.org/10.1109/QSIC.2003.1319086;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
110;. Sánchez, L. Fuentes, A. Jackson, and S. Clarke;Aspects at the Right Time;aspects at the right time;TAOSD;2007;https://doi.org/10.1007/978-3-540-77042-8_3;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
111;C. Parra, X. Blanc, A. Cleve, and L. Duchien,;Unifying design and runtime software adaptation using aspect models;unifying design and runtime software adaptation using aspect models;JSCIO;2011;https://doi.org/10.1016/j.scico.2010.12.005;no;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;no;(yes);(yes);;NO;NO;;;;
112;DAOP-ADL: an architecture description language for dynamic component and aspect-based development;DAOP-ADL: an architecture description language for dynamic component and aspect-based development;daop-adl: an architecture description language for dynamic component and aspect-based development;GPCE;2005;https://doi.org/10.1007/978-3-540-39815-8_8;no;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;(yes);(yes);yes;;NO;NO;;;;
113;P. Falcarin and G. Alonso,;Software architecture evolution through dynamic AOP;software architecture evolution through dynamic aop;EWSA;2004;https://doi.org/10.1007/978-3-540-24769-2_5;no;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;no;no;yes;;NO;NO;;;;
114;M. B. Dwyer, G. S. Avrunin, and J. C. Corbett,;Property specification patterns for finite-state verification;property specification patterns for finite-state verification;FMSP;1998;https://doi.org/10.1145/298595.298598;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
115;Dwyer, Matthew B and Avrunin, George S and Corbett, James C;Patterns in property specifications for finite-state verification;patterns in property specifications for finite-state verification;ICSE;1999;https://doi.org/10.1145/302405.302672;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
116;J. Meseguer and G. Ro ̧su;The rewriting logic semantics project: A progress report;the rewriting logic semantics project: a progress report;FCT;2011;https://doi.org/10.1007/978-3-642-22953-4_1;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
117;. Zhang, H. J. Goldsby, and B. H. C. Cheng;Modular verification of dynamically adaptive systems;modular verification of dynamically adaptive systems;AOSD;2009;https://doi.org/10.1145/1509239.1509262;no;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;yes;yes;yes;;NO;NO;;;;
118;C. Krupitzer, F. M. Roth, S. Vansyckel, G. Schiele, and C. Becker;A survey on engineering approaches for self-adaptive systems;a survey on engineering approaches for self-adaptive systems;Pervasive and Movibile Computing;2015;https://doi.org/10.1016/j.pmcj.2014.09.009;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
119;D. Weyns, R. Haesevoets, and A. Helleboogh;The MACODO organization model for context-driven dynamic agent organizations;the macodo organization model for context-driven dynamic agent organizations;TAAS;2010;https://doi.org/10.1145/1867713.1867717;no;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;(yes);(yes);yes;;NO;NO;;;;
120;M. U. Iftikhar and D. Weyns,;ActivFORMS: Active formal models for self-adaptation;activforms: active formal models for self-adaptation;SEAMS;2014;;no;TRUE;;;;FALSE;;;;;;TRUE;FALSE;;;;;;;;;;
121;C. Ghezzi and A. M. Sharifloo,;Dealing with non-functional re-quirements for adaptive systems via dynamic software product-lines;dealing with non-functional re-quirements for adaptive systems via dynamic software product-lines;SEAMS;2013;https://doi.org/10.1007/978-3-642-35813-5_8;no;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;(yes);yes;yes;;NO;NO;;;;
122;C. Ghezzi, L. S. Pinto, P. Spoletini, and G. Tamburrelli;Managing non-functional uncertainty via model-driven adaptivity;managing non-functional uncertainty via model-driven adaptivity;ICSE;2013;https://doi.org/10.1109/ICSE.2013.6606549;no;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;(yes);yes;yes;;NO;NO;;;;
123;H. Tajalli, J. Garcia, G. Edwards, and N. Medvidovic;PLASMA: Aplan-based layered architecture for software model-driven adaptation;plasma: aplan-based layered architecture for software model-driven adaptation;ASE;2010;https://doi.org/10.1145/1858996.1859092;no;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;(yes);yes;yes;;NO;NO;;;;
124;A. Filieri and G. Tamburrelli;Probabilistic verification at runtime for self-adaptive systems;probabilistic verification at runtime for self-adaptive systems;ASAS;2013;https://doi.org/10.1007/978-3-642-36249-1_2;no;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
125;. Bartels and M. Kleine;A CSP-based framework for the specification,verification, and implementation of adaptive system;a csp-based framework for the specification,verification, and implementation of adaptive system;SEAMS;2011;https://doi.org/10.1145/1988008.1988030;no;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;(yes);yes;yes;;NO;NO;;;;
126;M. Cordy, A. Classen, P. Heymans, A. Legay, and P.-Y. Schobbens;Model checking adaptive software with featured transition systems;model checking adaptive software with featured transition systems;ASAS;2013;https://doi.org/10.1007/978-3-642-36249-1_1;no;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;(yes);(yes);yes;;NO;NO;;;;
127;B. Morin, O. Barais, G. Nain, and J.-M. Jezequel;Taming dynamically adaptive systems using models and aspects;taming dynamically adaptive systems using models and aspects;ICSE;2009;https://doi.org/10.1109/ICSE.2009.5070514;no;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;(yes);no;yes;;NO;NO;;;;
128;C. Disenfeld and S. Katz;A closer look at aspect interference andcooperation;a closer look at aspect interference andcooperation;AOSD;2012;https://doi.org/10.1145/2162049.2162063;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
129;;Specification and verification of event detectors and responses;specification and verification of event detectors and responses;AOSD;2013;https://doi.org/10.1145/2451436.2451452;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
130;E. Clarke, O. Grumberg, S. Jha, Y. Lu, and H. Veith;Counter example-guided abstraction refinement for symbolic model checking;counter example-guided abstraction refinement for symbolic model checking;JACM;2003;https://doi.org/10.1145/876638.876643;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
131;G. Zhang and M. Hölzl,;Weaving semantic aspects in HiLA;weaving semantic aspects in hila;AOSD;2012;https://doi.org/10.1145/2162049.2162080;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
132;BM Muir;Trust in automation: Part I. Theoretical issues in the study of trust and human intervention in automated systems;trust in automation: part i. theoretical issues in the study of trust and human intervention in automated systems;Ergonomics;2007;https://doi.org/10.1080/00140139408964957;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
133;AC Gillies, A Hart;Using kbs ideas in image processing - a casestudy in human computer interaction;using kbs ideas in image processing - a casestudy in human computer interaction;Annual Technical Conference of the British Computer Society Specialist Group on Expert Systems;1988;;no;TRUE;TRUE;FALSE;;FALSE;;;;;;;FALSE;;;;;;;;;;
134;Sawyer, P., Bencomo, N., Whittle, J., Letier, E., & Finkelstein, A.;Requirements-aware systems: A research agenda for re for self-adaptive systems;requirements-aware systems: a research agenda for re for self-adaptive systems;RE;2010;https://doi.org/10.1109/RE.2010.21;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
135;WN Robinson;A requirements monitoring framework for enterprise systems;a requirements monitoring framework for enterprise systems;RE;2006;https://doi.org/10.1007/s00766-005-0016-3;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
136;. Fickas and M. Feather;Requirements monitoring in dynamic environments;requirements monitoring in dynamic environments;RE;1995;https://doi.org/10.1109/ISRE.1995.512555;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
137;.  Grace,  D.  Hughes,  B.  Porter,  G.  Blair,  G.  Coulson,  and  F.  Taiani;Experiences  with  open  overlays:  A  middleware  approach  to  network heterogeneity;experiences with open overlays: a middleware approach to network heterogeneity;EuroSys;2008;https://doi.org/10.1145/1352592.1352606;no;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;no;(yes);yes;;NO;NO;;;NO;NO
138;G.  Coulson,  G.  Blair,  P.  Grace,  A.  Joolia,  K.  Lee,  J.  Ueyama,  andT.  Sivaharan;A  generic  component  model  for  building  systems  soft-ware;a generic component model for building systems soft-ware;TOCS;2008;https://doi.org/10.1145/1328671.1328672;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
139;.  Garlan,  S.-W.  Cheng,  A.-C.  Huang,  B.  Schmerl,  and  P.  Steenkiste;Rainbow:  Architecture-based  self-adaptation  with  reusable  infrastruc-ture;rainbow: architecture-based self-adaptation with reusable infrastruc-ture;Computer;2004;https://doi.org/10.1109/MC.2004.175;no;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;(yes);(yes);yes;;NO;NO;;;;
140;. C. Georgas, A. van der Hoek, and R. N. Taylor;Using architectural models to manage and visualize runtime adaptation;using architectural models to manage and visualize runtime adaptation;Computer;2009;https://doi.org/10.1109/MC.2009.335;no;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;yes;(yes);yes;;NO;NO;;;;
141;.  Bencomo,  J.  Whittle,  P.  Sawyer,  A.  Finkelstein,  and  E.  Letier;Requirements    reflection:    requirements    as    runtime    entities;requirements reflection: requirements as runtime entities;ICSE;2010;https://doi.org/10.1145/1810295.1810329;no;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
142;.  E.  S.  Souza,  A.  Lapouchnian,  W.  N.  Robinson,  and  J.  Mylopoulos;Awareness requirements for adaptive systems;awareness requirements for adaptive systems;SEAMS;2011;https://doi.org/10.1145/1988008.1988018;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
143;.  Welsh,  P.  Sawyer,  and  N.  Bencomo;Towards  requirements  aware systems:  Run-time  resolution  of  design-time  assumptions;towards requirements aware systems: run-time resolution of design-time assumptions;ASE;2011;https://doi.org/10.1109/ASE.2011.6100125;no;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
144;.  Welsh  and  P.  Sawyer,;Requirements  tracing  to  support  change  in dynamically adaptive systems;requirements tracing to support change in dynamically adaptive systems;REFSQ;2009;https://doi.org/10.1007/978-3-642-02050-6_6;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
145;L.  Chung,  B.  A.  Nixon,  E.  Yu,  and  J.  Mylopoulos;Non-Functional Requirements in Software Engineering;non-functional requirements in software engineering;Springer;1999;https://www.springer.com/gp/book/9780792386667;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;;;;;;;;;
146;E.  S.  K.  Yu,;Towards  modeling  and  reasoning  support  for  early-phase  requirements  engineering;towards modeling and reasoning support for early-phase requirements engineering;RE;1997;https://doi.org/10.1109/ISRE.1997.566873;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
147;.  Welsh  and  P.  Sawyer;Understanding  the  scope  of  uncertainty  in dynamically adaptive systems;understanding the scope of uncertainty in dynamically adaptive systems;REFSQ;2010;https://doi.org/10.1007/978-3-642-14192-8_2;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;About requirement modeling;;;;;;
148;.  Whittle,  P.  Sawyer,  N.  Bencomo,  B.  H.  C.  Cheng,  and  J.-M.  Bruel;Relax:  a  language  to  address  uncertainty  in  self-adaptive  systems requirement;relax: a language to address uncertainty in self-adaptive systems requirement;RE;2010;https://doi.org/10.1007/s00766-010-0101-0;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
149;. Andersson, R. Lemos, S. Malek, and D. Weyns;Modeling dimensions of  self-adaptive  software  systems;modeling dimensions of self-adaptive software systems;SE for SAS;2009;https://doi.org/10.1007/978-3-642-02161-9_2;no;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;
